,"#;""اسم المؤسسة"";""المحلية"";""القطاع"";""نوع المؤسسة"";""العنوان"";""الهاتف"";""ملاحظات"""
178,"179;""معمل د.عثمان عبدالوهاب"";""الخرطوم"";""خاص"";""معمل"";""مستشفى فضيل"";""0"";""اشعة + موجات"""
179,"180;""معمل عيادة د.عصمت كمير"";""الخرطوم"";""خاص"";""معمل"";""الكلاكلة جوار صيدلية الإحسان"";""0"";""عام"""
180,"181;""معمل مجمع الشجرة الطبى"";""الخرطوم"";""خاص"";""معمل"";""غرب مركز صحى الشجرة"";""0"";""عام"""
181,"182;""معمل الإمتداد الطبى"";""الخرطوم"";""خاص"";""معمل"";""جنوب مركز صحى سمير"";""0"";""عام"""
182,"183;""معمل المختبر السودانى السعودى"";""الخرطوم"";""خاص"";""معمل"";""شارع البلدية جوار الخطوط السورية"";""0"";""عام + هرمونات"""
183,"184;""معمل الطيب محمد كباشى"";""الخرطوم"";""خاص"";""معمل"";""جبل اولياء الحلة الجديدة جنوب السوق"";""0"";""عام + هرمونات"""
184,"185;""مركز رسم المخ"";""الخرطوم"";""خاص"";""معمل"";""مجمع الرحمة الطبى شارع الحوادث"";""0"";""رسم المخ"""
185,"186;""أيمن محمد على"";""الخرطوم"";""خاص"";""معمل"";""عيادة د. عبدالعظيم كبلو مجمع ابن رشد"";""0"";""عام + هرمونات"""
186,"187;""معمل مركز الخرطوم التشخيصى المتطور"";""الخرطوم"";""خاص"";""معمل"";""شارع المستشفى شرق حوادث الأطفال"";""0"";""أشعة + موجات صوتية +رنين"""
187,"188;""معمل د. محمد خالد الروى"";""الخرطوم"";""خاص"";""معمل"";""شارع المستشفى جوار مستشفى الفيصل"";""0"";""أشعة + موجات صوتية"""
188,"189;""معمل مركز النيلين التشخيصى"";""الخرطوم"";""خاص"";""معمل"";""مركز النيلين شرق سينما كلوزيوم"";""0"";""عام +هرمونات"""
189,"190;""معمل مستشفى يستبشرون"";""الخرطوم"";""خاص"";""معمل"";""مستشفى يستبشرون"";""0"";""هرمونات+أنسجة"""
190,"191;""معمل مجمع الكوقلى"";""الخرطوم"";""خاص"";""معمل"";""شارع السيد عبدالرحمن مجمع الكوقلى"";""0"";""عام+هرمونات+أنسجة"""
191,"192;""معمل محمد عمر عالييب"";""الخرطوم"";""خاص"";""معمل"";""مجمع الرحمة شارع حوادث مستشفى الخرطوم"";""0"";""عام"""
192,"193;""معمل مجمع العالم"";""الخرطوم"";""خاص"";""معمل"";""شارع القصر جوار كلية الصيدلة"";""0"";""عام +هرمونات"""
193,"194;""معمل المركز الطبى الحديث"";""الخرطوم"";""خاص"";""معمل"";""شارع المطار المركز الطبى الحديث"";""0"";""عام +هرمونات"""
194,"195;""معمل المركز الإستشارى"";""الخرطوم"";""خاص"";""معمل"";""عيادة د.عشميق شارع المك نمر"";""0"";""عام+هرمونات"""
195,"196;""معمل هيئة الطاقة الذرية"";""الخرطوم"";""خاص"";""معمل"";""جنوب ملاعب كمبونى شارع السيد عبدالرحمن"";""0"";""عام +هرمونات"""
196,"197;""د. محمد ربيع"";""الخرطوم"";""خاص"";""معمل"";""شارع المستشفى شرق حوادث الولادة"";""0"";""ا شعة +موجات صوتية"""
197,"198;""صيدلية المك نمر"";""الخرطوم"";""خاص"";""صيدلية"";""حى الصفا بشارع عبيد ختم +حى الأزهرى"";""0"";""لا"""
198,"199;""صيدلية القبس"";""الخرطوم"";""خاص"";""صيدلية"";""شارع الحرية شرق السفارة الامريكية"";""0"";""لايوجد"""
199,"200;""صيدلية البركة"";""الخرطوم"";""خاص"";""صيدلية"";""برج البركة"";""0"";""لايوجد"""
200,"201;""صيدلية الفرقان"";""الخرطوم"";""خاص"";""صيدلية"";""شارع الصحافة زلط جوار طلمبة النيل"";""0"";""لا"""
201,"202;""صيدلية مستشفى الشيخ"";""الخرطوم"";""خاص"";""صيدلية"";""اركويت مستشفى الشيخ"";""0"";""لايوجد"""
202,"203;""صيدلية السلام"";""الخرطوم"";""خاص"";""صيدلية"";""جبرة مربع 2"";""0"";""لاتوجد"""
203,"204;""صيدلية الجمعية الطبية"";""الخرطوم"";""خاص"";""صيدلية"";""جوار مستشفى الأذن والأنف والحنجرة"";""0"";""لاتوجد"""
204,"205;""صيدلية الأحمدى"";""الخرطوم"";""خاص"";""صيدلية"";""مواقع مختلفة"";""0"";""لايوجد"""
205,"206;""صيدلية قاردن سيتى"";""الخرطوم"";""خاص"";""صيدلية"";""برى شارع المعرض"";""0"";""لايوجد"""
206,"207;""صيدلية المك نمر"";""الخرطوم"";""خاص"";""صيدلية"";""مواقع مختلفة"";""0"";""لايوجد"""
207,"208;""صيدلية مركز النيلين الطبى"";""الخرطوم"";""خاص"";""صيدلية"";""مركز النيلين الطبى شرق سينما كلوزيوم"";""0"";""لايوجد"""
208,"209;""صيدلية الدوحة"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة اللفة جنوب مستشفى"";""0"";""لايوجد"""
209,"210;""صيدلية عثمان دقنة"";""الخرطوم"";""خاص"";""صيدلية"";""شارع الحوادث جوار حوادث الأطفال"";""0"";""لاتوجد"""
210,"211;""صيدلية الخرطوم شرق"";""الخرطوم"";""خاص"";""صيدلية"";""شارع السيد عبدالرحمن جنوب مستشفى الزيتونة"";""0"";""لاتوجد"""
211,"212;""صيدلية سابينا"";""الخرطوم"";""خاص"";""صيدلية"";""شارع المك نمر مقابل هيئة الأوقاف الاسلامية"";""0"";""لايوجد"""
212,"213;""صيدلية الشريان الحديثة"";""الخرطوم"";""خاص"";""صيدلية"";""اللاماب مربع 5"";""0"";""لايوجد"""
213,"214;""صيدلية العدالة الشعبية"";""الخرطوم"";""خاص"";""صيدلية"";""شارع السيد عبدالمنعم رئاسة السلطة القضائية"";""0"";""لايوجد"""
214,"215;""صيدلية مستشفى الأمل"";""الخرطوم"";""خاص"";""صيدلية"";""مستشفى الأمل المنشية"";""0"";""لايوجد"""
215,"216;""صيدلية الرضا الحديثة"";""الخرطوم"";""خاص"";""صيدلية"";""شارع السيد عبدالرحمنشرق بنك الاستثمار المالى"";""0"";""لايوجد"""
216,"217;""صيدلية المركز الاستشارى"";""الخرطوم"";""خاص"";""صيدلية"";""مركز عشميق شارع المك نمر"";""0"";""لايوجد"""
217,"218;""الصيدلية المتخصصة"";""الخرطوم"";""خاص"";""صيدلية"";""الصحافة شرق شمال مستشفى الفؤاد"";""0"";""لاتوجد"""
218,"219;""صيدلية ابوالوليد"";""الخرطوم"";""خاص"";""صيدلية"";""الصحافة شرق"";""0"";""لاتوجد"""
219,"220;""صيدلية جبل أولياء"";""الخرطوم"";""خاص"";""صيدلية"";""جبل أولياء السوق/غرب موقف الخرطوم"";""0"";""لايوجد"""
220,"221;""صيدلية نعمة الحديثة"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة شرق"";""0"";""لايوجد"""
221,"222;""صيدلية مركز طب الاسنان"";""الخرطوم"";""خاص"";""صيدلية"";""شارع البلدية جوار الدار السودانية للكتب"";""0"";""لايوجد"""
222,"223;""صيدلية الرسالة"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة القلعة مربع 2"";""923060632"";""لايوجد"""
223,"224;""صيدلية جمال"";""الخرطوم"";""خاص"";""صيدلية"";""المسعودية"";""0"";""لايوجد"""
224,"225;""صيدلية جادان"";""الخرطوم"";""خاص"";""صيدلية"";""شارع محمد نجيب العمارات شارع 41"";""0"";""لايوجد"""
225,"226;""صيدلية التقوى"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة القلعة مقابل السجل المدنى"";""0"";""لايوجد"""
226,"227;""صيدلية بلادى الحديثة"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة شرق"";""0"";""لايوجد"""
227,"228;""صيدلية مركز السودان للعيون"";""الخرطوم"";""خاص"";""صيدلية"";""العمارات شارع 41"";""0"";""لاتوجد"""
228,"229;""صيدلية مجمع العميد عبدون"";""الخرطوم"";""خاص"";""صيدلية"";""شارع الحرية جوار مجمع المحاكم مقابل ميدان جاكسون"";""0"";""لاتوجد"""
229,"230;""صيدلية مستشفى الفؤاد"";""الخرطوم"";""خاص"";""صيدلية"";""السوق المحلى مستشفى الفؤاد"";""0"";""............."""
230,"231;""صيدلية كمبال"";""الخرطوم"";""خاص"";""صيدلية"";""شارع الجمهورية جوار بنك الخرطوم"";""0"";""لايوجد"""
231,"232;""صيدلية الشهيدة سلمى"";""الخرطوم"";""خاص"";""صيدلية"";""شارع السيد عبدالرحمن شرق بنك الاستثمار المالى"";""0"";""لايوجد"""
232,"233;""صيدلية سورج"";""الخرطوم"";""خاص"";""صيدلية"";""عمارة الامارات غرب موقف جبرة سابقاُ"";""0"";""لايوجد"""
233,"234;""صيدلية مستشفى الأطباء"";""الخرطوم"";""خاص"";""صيدلية"";""شارع المطار جوار مستشفى الأطباء"";""0"";""لايوجد"""
234,"235;""صيدلية عبرى"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة سوق اللفة شمال مجمع الرشيد"";""0"";""لاتوجد"""
235,"236;""صيدلية زهير"";""الخرطوم"";""خاص"";""صيدلية"";""الكلاكلة اللفة جنوب طلمبة كانكورب"";""0"";""لايوجد"""
236,"237;""صيدلية الاكاديمية"";""الخرطوم"";""خاص"";""صيدلية"";""الرياض مستشفى يستبشرون"";""0"";""لايوجد"""
237,"238;""صيدلية اسراء"";""الخرطوم"";""خاص"";""صيدلية"";""شارع الستين الرياض"";""0"";""لايوجد"""
238,"239;""صيدلية شيكان"";""الخرطوم"";""خاص"";""صيدلية"";""شارع المستشفى مقابل مستشفى الفيصل"";""0"";""لايوجد"""
239,"240;""صيدلية مستشفى الذرة"";""الخرطوم"";""خاص"";""صيدلية"";""شارع القصر مستشفى الذرة"";""0"";""لايوجد"""
240,"242;""مركز صحة أسرة الخنساء"";""أمبدة"";""حكومي"";""مركز"";"""";"""";"""""
241,"243;""مستشفى ابراهيم مالك"";""الخرطوم"";""حكومي"";""مستشفى"";""الصحافه"";""0000000"";"""""
